DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;11.93;22.06;18.44;NA;26.57;23.81;NA;NA;ND;NA;NA;NA;
1;1;21.32;32.11;24.86;NA;29;21.6;NA;NA;ND;NA;NA;NA;
1;2;20.06;29.76;27.81;NA;23.92;25.51;NA;NA;ND;NA;NA;NA;
1;3;14.58;27.39;22.54;NA;20.92;26.41;NA;NA;ND;NA;NA;NA;
1;4;17.96;19.37;14.19;NA;21.57;24.05;NA;NA;ND;NA;NA;NA;
1;5;12.2;17.57;12.63;NA;7.91;15.78;NA;NA;ND;NA;NA;NA;
1;6;3.44;12.41;13.67;NA;23.76;19.56;NA;NA;ND;NA;NA;NA;
1;7;8.81;8.03;8.67;NA;25.79;12.87;NA;NA;ND;NA;NA;NA;
1;8;12.98;25.07;16.78;NA;24.49;4.66;NA;NA;ND;NA;NA;NA;
1;9;10.8;13.87;10.05;NA;2.09;8.29;NA;NA;ND;NA;NA;NA;
1;10;15.11;8.5;1.43;NA;5.07;4.04;NA;NA;ND;NA;NA;NA;
1;11;3.46;1.3;5.89;NA;2.73;2.31;NA;NA;ND;NA;NA;NA;
1;12;11.75;4.31;3.37;NA;4.77;2.51;NA;NA;ND;NA;NA;NA;
1;13;3.99;13.32;0.08;NA;1.15;2.5;NA;NA;ND;NA;NA;NA;
1;14;5.82;5.21;3.67;NA;3.96;9.47;NA;NA;ND;NA;NA;NA;
1;15;9.55;1.96;10.87;NA;1.87;2.76;NA;NA;ND;NA;NA;NA;
1;16;1.4;15.95;4.25;NA;0.88;6.08;NA;NA;ND;NA;NA;NA;
1;17;7.6;11.7;4.07;NA;11.38;0.24;NA;NA;ND;NA;NA;NA;
1;18;1.17;22.19;7.91;NA;5.52;5.59;NA;NA;ND;NA;NA;NA;
1;19;8.51;30.15;5.59;NA;11.93;3.39;NA;NA;ND;NA;NA;NA;
1;20;6.04;9.23;5.41;NA;9.82;3.51;NA;NA;ND;NA;NA;NA;
1;21;8.15;18.74;3.94;NA;9.39;5.31;NA;NA;ND;NA;NA;NA;
1;22;2.38;24.64;3.09;NA;6.54;3.96;NA;NA;ND;NA;NA;NA;
1;23;4.14;31.44;5.19;NA;4.48;3.97;NA;NA;ND;NA;NA;NA;
2;0;4.11;8.41;0.2;NA;8.77;4.65;NA;NA;ND;NA;NA;NA;
2;1;4.8;8.44;2.12;NA;5.5;7.23;NA;NA;ND;NA;NA;NA;
2;2;3.02;11.13;1.31;NA;4.07;7.31;NA;NA;ND;NA;NA;NA;
2;3;2.4;11.71;6.26;NA;2.75;4.83;NA;NA;ND;NA;NA;NA;
2;4;9.01;10.33;2.99;NA;5.88;5.07;NA;NA;ND;NA;NA;NA;
2;5;8.26;18.67;2.6;NA;7.24;5.71;NA;NA;ND;NA;NA;NA;
2;6;5.34;43.53;7.49;NA;32.29;5.36;NA;NA;ND;NA;NA;NA;
2;7;10.34;28.81;0.63;NA;23.96;10.13;NA;NA;ND;NA;NA;NA;
2;8;10.83;10.52;5.48;NA;14.27;5.43;NA;NA;ND;NA;NA;NA;
2;9;7.79;16.46;7.93;NA;14.01;11.57;NA;NA;ND;NA;NA;NA;
2;10;10.29;9.56;2.55;NA;10.01;5.87;NA;NA;ND;NA;NA;NA;
2;11;8.81;13.66;7.07;NA;1.18;1.57;NA;NA;ND;NA;NA;NA;
2;12;1.91;0.03;4.72;NA;2.68;5.04;NA;NA;ND;NA;NA;NA;
2;13;4.37;10.31;6.77;NA;5.53;10.69;NA;NA;ND;NA;NA;NA;
2;14;4.57;0;6.29;NA;4.13;2.9;NA;NA;ND;NA;NA;NA;
2;15;11.69;19.88;4.91;NA;4.96;9.79;NA;NA;ND;NA;NA;NA;
2;16;10.83;18.26;9.68;NA;12.24;4.81;NA;NA;ND;NA;NA;NA;
2;17;10.07;18.82;12.33;NA;3.47;7.06;NA;NA;ND;NA;NA;NA;
2;18;9.48;28.12;11.95;NA;15.62;5.57;NA;NA;ND;NA;NA;NA;
2;19;9.5;23.02;10.45;NA;23.38;9.61;NA;NA;ND;NA;NA;NA;
2;20;9.33;18.22;6.68;NA;20.56;5.68;NA;NA;ND;NA;NA;NA;
2;21;18.21;23.53;5.68;NA;15.33;4.67;NA;NA;ND;NA;NA;NA;
2;22;13.37;ND;4.04;NA;17.23;5.57;NA;NA;ND;NA;NA;NA;
2;23;16.49;ND;7.7;NA;8.87;3.68;NA;NA;ND;NA;NA;NA;
3;0;13.5;26.29;7.91;NA;37.92;6.97;NA;NA;ND;NA;NA;NA;
3;1;8.29;12.51;6.31;NA;35.88;21.1;NA;NA;ND;NA;NA;NA;
3;2;11.55;12.71;6.38;NA;28.72;12.47;NA;NA;ND;NA;NA;NA;
3;3;6.56;3.92;9.03;NA;9;9.2;NA;NA;ND;NA;NA;NA;
3;4;7.3;8.95;11.43;NA;15.37;7.86;NA;NA;ND;NA;NA;NA;
3;5;10.96;24.07;8.04;NA;16.09;9.4;NA;NA;ND;NA;NA;NA;
3;6;21.75;61.34;16.35;NA;29.5;16.49;NA;NA;ND;NA;NA;NA;
3;7;19.22;70.11;7.78;NA;43.69;19.08;NA;NA;ND;NA;NA;NA;
3;8;15.53;38.38;5.4;NA;36.59;9.08;NA;NA;ND;NA;NA;NA;
3;9;8.57;12.01;5.47;NA;13.85;4.53;NA;NA;ND;NA;NA;NA;
3;10;10.23;8.93;3.64;NA;4.34;6.31;NA;NA;ND;NA;NA;NA;
3;11;9.24;4.88;4.49;NA;5.68;2.3;NA;NA;ND;NA;NA;NA;
3;12;10.75;6.54;3.94;NA;9.18;3.06;NA;NA;ND;NA;NA;NA;
3;13;3.74;2.42;3.77;NA;2.01;2.28;NA;NA;ND;NA;NA;NA;
3;14;9.84;7.54;9.27;NA;8.63;15.94;NA;NA;ND;NA;NA;NA;
3;15;6.56;26.35;9.91;NA;1.82;2.35;NA;NA;ND;NA;NA;NA;
3;16;ND;18.84;10.74;NA;12.52;3.37;NA;NA;ND;NA;NA;NA;
3;17;29.92;32.95;13.86;NA;9.78;5.01;NA;NA;ND;NA;NA;NA;
3;18;27.73;49.85;16.06;NA;11.82;13.65;NA;NA;ND;NA;NA;NA;
3;19;15.93;56.31;22.38;NA;23.57;15.57;NA;NA;ND;NA;NA;NA;
3;20;26.27;33.63;25.83;NA;35.51;33.36;NA;NA;ND;NA;NA;NA;
3;21;24.61;34.29;17.56;NA;34.07;29.85;NA;NA;ND;NA;NA;NA;
3;22;23.85;20.17;14.99;NA;25.42;28.34;NA;NA;ND;NA;NA;NA;
3;23;15.55;25.36;19.32;NA;27.07;22.59;NA;NA;ND;NA;NA;NA;
4;0;32.12;20.38;39.76;NA;31.53;23.72;NA;NA;ND;NA;NA;NA;
4;1;15.62;18.8;24.72;NA;36.71;36.55;NA;NA;ND;NA;NA;NA;
4;2;19.47;17.05;18.67;NA;29.37;30.99;NA;NA;ND;NA;NA;NA;
4;3;20.96;25.55;24.09;NA;30.88;15.22;NA;NA;ND;NA;NA;NA;
4;4;16.72;35.18;9.35;NA;22.31;14.41;NA;NA;ND;NA;NA;NA;
4;5;21.77;26.34;18.11;NA;17.24;16.75;NA;NA;ND;NA;NA;NA;
4;6;29.95;30.16;23.54;NA;56.2;30.68;NA;NA;ND;NA;NA;NA;
4;7;32.8;37.16;41.31;NA;84.07;53.12;NA;NA;ND;NA;NA;NA;
4;8;31.23;28.49;40.97;NA;75.89;54.41;NA;NA;ND;NA;NA;NA;
4;9;23.33;39.17;45.49;NA;57.04;56.57;NA;NA;ND;NA;NA;NA;
4;10;18.45;9.39;30.66;NA;30.86;41.3;NA;NA;ND;NA;NA;NA;
4;11;14.65;10.42;7.85;NA;12.68;5.55;NA;NA;ND;NA;NA;NA;
4;12;17.98;8.75;6.47;NA;1.88;8.43;NA;NA;ND;NA;NA;NA;
4;13;17.99;22.7;2.98;NA;4.62;11.32;NA;NA;ND;NA;NA;NA;
4;14;9.54;26.76;8.9;NA;6.47;2.31;NA;NA;ND;NA;NA;NA;
4;15;8.6;15.34;14.13;NA;5.65;16.01;NA;NA;ND;NA;NA;NA;
4;16;17.43;25.84;11.83;NA;24.72;17.28;NA;NA;ND;NA;NA;NA;
4;17;11.38;27.01;22.07;NA;10.26;12.39;NA;NA;ND;NA;NA;NA;
4;18;12.71;20.35;13.89;NA;21.28;14.2;NA;NA;ND;NA;NA;NA;
4;19;10.72;35.4;21.29;NA;28.11;24.97;NA;NA;ND;NA;NA;NA;
4;20;12.33;23.48;22.39;NA;25.22;33.59;NA;NA;ND;NA;NA;NA;
4;21;26.94;24.55;15.33;NA;31.34;33.38;NA;NA;ND;NA;NA;NA;
4;22;21.05;26.43;21.73;NA;32.49;29.84;NA;NA;ND;NA;NA;NA;
4;23;16.32;20.42;30.03;NA;33.35;31.64;NA;NA;ND;NA;NA;NA;
5;0;19.19;26.58;19.36;NA;40.53;27.46;NA;NA;ND;NA;NA;NA;
5;1;17.81;20.64;29.98;NA;40.12;46.57;NA;NA;ND;NA;NA;NA;
5;2;17.93;20.77;21.76;NA;32.27;31.35;NA;NA;ND;NA;NA;NA;
5;3;18.99;28.74;20.73;NA;23.43;36.14;NA;NA;ND;NA;NA;NA;
5;4;21.31;30.56;27.67;NA;21.67;36.95;NA;NA;ND;NA;NA;NA;
5;5;16.39;29.87;23.54;NA;28.39;42.22;NA;NA;ND;NA;NA;NA;
5;6;22.35;25.85;21.02;NA;38.45;39.09;NA;NA;ND;NA;NA;NA;
5;7;26.25;34.09;26.69;NA;46.54;47.65;NA;NA;ND;NA;NA;NA;
5;8;22.88;44.36;36.85;NA;34.83;49.73;NA;NA;ND;NA;NA;NA;
5;9;19;50.46;31.44;NA;21.54;31.71;NA;NA;ND;NA;NA;NA;
5;10;7.3;24.51;ND;NA;33.7;21.84;NA;NA;ND;NA;NA;NA;
5;11;29.36;21.37;13.23;NA;20.81;18.61;NA;NA;ND;NA;NA;NA;
5;12;14.22;11.56;18.58;NA;17.61;14.74;NA;NA;ND;NA;NA;NA;
5;13;10.81;11.86;19.62;NA;15.24;15.69;NA;NA;ND;NA;NA;NA;
5;14;20.1;20.31;14.16;NA;11.31;13.74;NA;NA;ND;NA;NA;NA;
5;15;9.86;8.81;11.04;NA;16.85;12.7;NA;NA;ND;NA;NA;NA;
5;16;9.2;ND;14.54;NA;18.76;13.79;NA;NA;ND;NA;NA;NA;
5;17;13.38;ND;14.94;NA;24.77;13.29;NA;NA;ND;NA;NA;NA;
5;18;14.97;ND;17.18;NA;18.58;24.2;NA;NA;ND;NA;NA;NA;
5;19;27.53;ND;24.28;NA;21.05;28.15;NA;NA;ND;NA;NA;NA;
5;20;23.41;ND;23.63;NA;17.27;27.03;NA;NA;ND;NA;NA;NA;
5;21;31.99;ND;19.09;NA;35.54;35.8;NA;NA;ND;NA;NA;NA;
5;22;14.91;ND;27.49;NA;31.64;20.17;NA;NA;ND;NA;NA;NA;
5;23;24.44;ND;22.25;NA;32.78;37.02;NA;NA;ND;NA;NA;NA;
6;0;17.64;ND;42.21;NA;37.37;34.3;NA;NA;ND;NA;NA;NA;
6;1;23.45;ND;33.85;NA;36.69;33.27;NA;NA;ND;NA;NA;NA;
6;2;20.2;ND;30.71;NA;33.96;29.4;NA;NA;ND;NA;NA;NA;
6;3;17.38;ND;14.69;NA;21.77;27.12;NA;NA;ND;NA;NA;NA;
6;4;16.2;ND;17.35;NA;22.41;24.24;NA;NA;ND;NA;NA;NA;
6;5;11.91;ND;17.72;NA;31.46;28.85;NA;NA;ND;NA;NA;NA;
6;6;23.09;ND;34.36;NA;52.01;38.36;NA;NA;ND;NA;NA;NA;
6;7;33.32;ND;41.77;NA;76.22;57.21;NA;NA;ND;NA;NA;NA;
6;8;48.92;ND;44.24;NA;75.05;41.79;NA;NA;ND;NA;NA;NA;
6;9;44.23;ND;17.91;NA;27.23;11.62;NA;NA;ND;NA;NA;NA;
6;10;19.65;ND;0.81;NA;5.39;4.47;NA;NA;ND;NA;NA;NA;
6;11;14.95;ND;4.9;NA;8.57;4.91;NA;NA;ND;NA;NA;NA;
6;12;16.55;ND;13.45;NA;8.77;18.49;NA;NA;ND;NA;NA;NA;
6;13;10.45;ND;9.14;NA;0.98;21.99;NA;NA;ND;NA;NA;NA;
6;14;11.8;ND;10.32;NA;4.22;28.13;NA;NA;ND;NA;NA;NA;
6;15;12.5;ND;12.89;NA;7.61;25.39;NA;NA;ND;NA;NA;NA;
6;16;7.21;ND;16.22;NA;25.07;13.98;NA;NA;ND;NA;NA;NA;
6;17;13.06;ND;11.03;NA;25.13;1.3;NA;NA;ND;NA;NA;NA;
6;18;15.63;25.23;14.83;NA;22.09;2.75;NA;NA;ND;NA;NA;NA;
6;19;10.9;26.34;16.25;NA;20.55;4.51;NA;NA;ND;NA;NA;NA;
6;20;8.68;26.1;13.3;NA;23.98;12.9;NA;NA;ND;NA;NA;NA;
6;21;17.74;31.62;7.53;NA;36.28;12.43;NA;NA;ND;NA;NA;NA;
6;22;15.37;30.34;16.16;NA;36.61;14.06;NA;NA;ND;NA;NA;NA;
6;23;ND;28.06;7.65;NA;15.14;6.12;NA;NA;ND;NA;NA;NA;
7;0;ND;18.11;1.16;NA;11.4;13.06;NA;NA;ND;NA;NA;NA;
7;1;ND;28.3;11.2;NA;3.84;8.44;NA;NA;ND;NA;NA;NA;
7;2;ND;29.78;23.35;NA;16.86;8.72;NA;NA;ND;NA;NA;NA;
7;3;ND;14.53;22.8;NA;10.17;17.97;NA;NA;ND;NA;NA;NA;
7;4;ND;20.79;12.76;NA;10.58;14.11;NA;NA;ND;NA;NA;NA;
7;5;ND;27.86;17.51;NA;26.81;18.6;NA;NA;ND;NA;NA;NA;
7;6;ND;51.13;17.53;NA;39.17;29.17;NA;NA;ND;NA;NA;NA;
7;7;ND;29.75;12.54;NA;34.11;6.88;NA;NA;ND;NA;NA;NA;
7;8;ND;22.57;4.42;NA;23.43;5.56;NA;NA;ND;NA;NA;NA;
7;9;ND;29.1;3.17;NA;8.49;3.93;NA;NA;ND;NA;NA;NA;
7;10;ND;5.61;6.59;NA;7.61;10.29;NA;NA;ND;NA;NA;NA;
7;11;ND;9.24;2.9;NA;3.79;9.39;NA;NA;ND;NA;NA;NA;
7;12;ND;2.3;6.56;NA;0.44;5.57;NA;NA;ND;NA;NA;NA;
