DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;53.86;49.41;51.52;NA;34.49;48.69;57.4;9.13;2.4;NA;NA;NA;
1;1;47.2;51.39;35.93;NA;34.73;46.3;ND;14.46;ND;NA;NA;NA;
1;2;ND;ND;42.93;NA;31.77;29.38;52.82;11.41;1.91;NA;NA;NA;
1;3;50.14;29.83;43.1;NA;23.51;20.03;49.9;8.96;0.88;NA;NA;NA;
1;4;19.08;18.79;22.12;NA;26.12;20.17;51.5;8.83;5.41;NA;NA;NA;
1;5;4.4;1.14;3.77;NA;13.59;3.82;46.37;2.44;4.4;NA;NA;NA;
1;6;6.06;4.69;7.12;NA;10.69;8.14;45.44;4.52;2.91;NA;NA;NA;
1;7;14.34;21.23;27.72;NA;25.64;31.11;49.42;14.79;14.11;NA;NA;NA;
1;8;39.01;35.61;43.21;NA;43.32;46.86;55.98;24.6;33.68;NA;NA;NA;
1;9;65.42;57.27;61.36;NA;58.4;64.9;63.09;56.43;61.09;NA;NA;NA;
1;10;76.42;72.47;71.22;NA;71.94;82.95;72.43;76.34;87.68;NA;NA;NA;
1;11;93.88;90.43;80.4;NA;82.69;89.87;81.57;81.42;88.59;NA;NA;NA;
1;12;95.93;83.73;80.45;NA;77.26;84.34;91.58;79.77;85.08;NA;NA;NA;
1;13;78.08;75.13;75.05;NA;74.13;85.18;86.21;81.25;81.38;NA;NA;NA;
1;14;63.36;69.36;67.4;NA;58.65;82.08;79.63;81.86;78.72;NA;NA;NA;
1;15;65.94;67.49;69.56;NA;49.07;73.8;62.57;73.28;73.47;NA;NA;NA;
1;16;64.76;65.25;71.2;NA;41.41;69.04;55.46;68.02;73.41;NA;NA;NA;
1;17;58.9;61.27;53.67;NA;32.92;34.93;37.76;61.02;59.52;NA;NA;NA;
1;18;49.01;50.28;26.84;NA;26.11;15.93;25.08;56.12;51.29;NA;NA;NA;
1;19;42.06;38.86;19.63;NA;15.77;17.8;38.23;52.63;47.24;NA;NA;NA;
1;20;25.6;40.34;14.81;NA;19.3;7.9;35.37;50.17;43.09;NA;NA;NA;
1;21;23.08;31.89;12.68;NA;26.99;17.19;30.88;48.4;41.45;NA;NA;NA;
1;22;25.79;29.16;10.4;NA;8.65;10.65;24.46;47.31;35.24;NA;NA;NA;
1;23;25.54;41.36;16.6;NA;12.71;10.38;18.11;38.34;22.52;NA;NA;NA;
2;0;36.73;42.55;9.79;NA;17.34;14.29;9.52;ND;13.83;NA;NA;NA;
2;1;39.19;45.87;17.97;NA;22.67;22.33;28.67;34.48;22.65;NA;NA;NA;
2;2;26.78;34.05;ND;NA;ND;ND;23.82;34.1;23.41;NA;NA;NA;
2;3;10.91;23.45;8.92;NA;15.1;3.27;34.51;24.78;24.48;NA;NA;NA;
2;4;6.6;14.19;8.48;NA;12.07;14.88;38.7;17.31;14.65;NA;NA;NA;
2;5;1.24;5.53;7.51;NA;4.73;15.09;53.88;12.22;8.24;NA;NA;NA;
2;6;2.79;2.23;3.14;NA;5.36;6.87;49.49;4.01;5;NA;NA;NA;
2;7;20.94;13.09;10.27;NA;10.31;4.84;42.79;11.43;4.82;NA;NA;NA;
2;8;31.05;51.55;24.66;NA;34.99;20.11;53.22;24.71;13.65;NA;NA;NA;
2;9;54.18;64.96;45.93;NA;52.23;53.35;62.15;30.47;35.01;NA;NA;NA;
2;10;66.29;64.42;53.91;NA;54.91;59.75;67.88;60.2;64.3;NA;NA;NA;
2;11;73.8;73.96;55.12;NA;57.35;63.43;76.67;60.78;66.5;NA;NA;NA;
2;12;72.05;73.61;53.3;NA;55.75;67.49;70.1;52.76;59.62;NA;NA;NA;
2;13;63.26;65.76;52.25;NA;56.66;64.33;59.08;55.34;55.28;NA;NA;NA;
2;14;68.03;57.72;52.71;NA;67.49;60.4;62.3;52.41;54.48;NA;NA;NA;
2;15;56.56;56.82;51.37;NA;47.52;54.48;51.56;63.42;49.23;NA;NA;NA;
2;16;50.16;48.67;54.51;NA;36.95;50.94;48.43;52.96;45.64;NA;NA;NA;
2;17;45.03;46;30.23;NA;20.65;32.99;40.71;45.79;24.52;NA;NA;NA;
2;18;36.63;41.89;20.33;NA;20.89;20.89;26.54;52.8;23.2;NA;NA;NA;
2;19;17.53;41.22;15.1;NA;14.49;5.53;22.13;40.85;24.55;NA;NA;NA;
2;20;14.08;36.37;6.16;NA;13.38;18.42;15.57;49.42;13.27;NA;NA;NA;
2;21;10.5;18.87;5.65;NA;6.84;2.03;6.43;50.47;25.17;NA;NA;NA;
2;22;17.11;13.59;8.04;NA;2.5;1.38;26.62;11.83;22.01;NA;NA;NA;
2;23;9.74;6.81;6.57;NA;9.15;8.45;35.61;10.82;1.12;NA;NA;NA;
3;0;3.42;2.51;28.35;NA;10.07;16.58;40.66;9.32;1.07;NA;NA;NA;
3;1;8.51;0.76;35.01;NA;12.85;25.3;ND;4.52;ND;NA;NA;NA;
3;2;ND;ND;39.15;NA;ND;32.05;43.62;3.14;1.96;NA;NA;NA;
3;3;3.45;0.61;40.57;NA;20.89;32.54;43.45;3.01;0.82;NA;NA;NA;
3;4;5.77;5.07;42.36;NA;36;32.12;42.29;0.87;3.01;NA;NA;NA;
3;5;2.13;4.19;42.18;NA;26.79;28.22;38.88;0.92;3.39;NA;NA;NA;
3;6;6.35;5.25;40.18;NA;22.73;24.6;41.57;2.07;4.93;NA;NA;NA;
3;7;38.58;20.61;41.57;NA;34.75;30.9;44.43;6.49;20.07;NA;NA;NA;
3;8;47.51;29.58;44.82;NA;37.73;44.11;47.4;19.48;39.81;NA;NA;NA;
3;9;55.91;47.42;49.56;NA;46.29;50.97;51.5;42.11;53.44;NA;NA;NA;
3;10;65.24;62.51;57.16;NA;53.99;59.54;55.33;50.03;64.81;NA;NA;NA;
3;11;71.69;71.44;65.17;NA;60.55;65.38;57.45;ND;68.72;NA;NA;NA;
3;12;69.4;61.56;65.17;NA;64.57;70.76;59.84;ND;69.55;NA;NA;NA;
3;13;71.25;62.22;65.39;NA;66.38;77.19;62.1;ND;69.29;NA;NA;NA;
3;14;67.88;63.96;70.92;NA;45.62;64.1;55.62;ND;58.02;NA;NA;NA;
3;15;66.25;59.39;56.02;NA;39.52;58.53;55.67;50.06;54.52;NA;NA;NA;
3;16;58.17;61.15;52.95;NA;34.38;52.58;56.82;42.99;54.15;NA;NA;NA;
3;17;48.82;56.7;33.27;NA;34.25;42.67;39.5;29.97;37.96;NA;NA;NA;
3;18;44.88;46.13;25.42;NA;28.06;27.36;44.26;44.77;36.28;NA;NA;NA;
3;19;21.92;42.08;18.79;NA;23.55;16.81;35.62;18.46;47.68;NA;NA;NA;
3;20;35.13;41.73;22.81;NA;20.46;17.27;38.25;11.72;31.04;NA;NA;NA;
3;21;30.25;32.23;10.25;NA;24.94;8.5;35.78;5.38;19.28;NA;NA;NA;
3;22;24.12;28.23;5.7;NA;27.8;12.38;35.61;6.83;10.57;NA;NA;NA;
3;23;30.37;14.21;16.21;NA;28.74;14.99;38.42;2.1;8.53;NA;NA;NA;
4;0;30.34;2.49;21.07;NA;29.15;23.37;39;2.1;7.82;NA;NA;NA;
4;1;18.8;2.16;33.79;NA;26.38;27.89;38.33;1.96;6.96;NA;NA;NA;
4;2;17.57;3.24;ND;NA;25.76;ND;37.6;2.24;7.86;NA;NA;NA;
4;3;15.9;6.87;35.55;NA;26.64;31.1;39.26;1.1;2.64;NA;NA;NA;
4;4;12.66;4.79;39.19;NA;21.62;30.62;40.46;0.63;3.05;NA;NA;NA;
4;5;15.07;2.48;40.57;NA;22.97;26.93;44.49;1.05;3.34;NA;NA;NA;
4;6;15.22;5.23;45.35;NA;38.84;33.7;49.4;1.89;4.24;NA;NA;NA;
4;7;31.67;18.57;50.69;NA;46.69;43.91;54.87;7.91;27.37;NA;NA;NA;
4;8;59.45;31.86;57.82;NA;50.18;56.65;59.57;27.87;52.91;NA;NA;NA;
4;9;64.98;56.22;68.61;NA;58.26;69.8;62.91;54.73;63.73;NA;NA;NA;
4;10;71.76;67.7;60.23;NA;61.7;67.39;65.71;60.06;64.34;NA;NA;NA;
4;11;69.97;61.52;64.28;NA;61.15;68.84;65.96;59.18;66.1;NA;NA;NA;
4;12;66.36;60.21;61.24;NA;61.91;71.51;63.48;59.49;72.36;NA;NA;NA;
4;13;67.6;58.72;61.43;NA;58.45;66.32;61.49;59.99;61.34;NA;NA;NA;
4;14;55.51;51.08;59.68;NA;54.96;65.68;57.61;56.53;58.83;NA;NA;NA;
4;15;49.94;50.06;51.46;NA;41.46;56.31;58.63;52.91;54.71;NA;NA;NA;
4;16;48.18;51.43;47.42;NA;24.77;44.05;59.09;52.37;49.28;NA;NA;NA;
4;17;44.1;50.16;52.08;NA;20.37;35.34;53.97;47.37;38.9;NA;NA;NA;
4;18;42.54;43.1;24.76;NA;17.74;26.59;30.91;40;20.28;NA;NA;NA;
4;19;39.29;37.79;4.87;NA;13.1;8.94;28.71;30.07;0.39;NA;NA;NA;
4;20;34.94;32.08;28.14;NA;15.71;7.27;32.08;34.34;10.59;NA;NA;NA;
4;21;29.42;29.85;23.56;NA;20.93;9;34.82;31.83;10.35;NA;NA;NA;
4;22;28.93;24.16;16.64;NA;21.9;16.88;42.39;28.34;27.87;NA;NA;NA;
4;23;31.99;29.09;27.28;NA;34.89;26.45;41.57;23;27.86;NA;NA;NA;
5;0;30.2;28.01;31.55;NA;36.9;28.61;39.29;ND;9.25;NA;NA;NA;
5;1;23.52;26.32;32.11;NA;35.6;33.48;ND;11.07;ND;NA;NA;NA;
5;2;ND;ND;28.99;NA;ND;33.38;54.95;8.13;18.54;NA;NA;NA;
5;3;15.9;11.47;27.46;NA;23.36;28.34;56.27;5.93;20.93;NA;NA;NA;
5;4;9.75;3.44;14.55;NA;21.07;20.36;57.91;5.17;16.76;NA;NA;NA;
5;5;2.32;6.7;19.87;NA;8.95;17.81;50.72;1.31;4;NA;NA;NA;
5;6;4.99;4.1;5.67;NA;5.23;5.98;52.3;2.39;4.27;NA;NA;NA;
5;7;18.66;23.86;11.66;NA;14.92;18.82;57.95;5.72;12.65;NA;NA;NA;
5;8;39.02;32.23;42.32;NA;39.03;52.67;63.47;24.47;37.1;NA;NA;NA;
5;9;48.31;56.73;58.6;NA;52.08;63.62;65.69;58.27;56.58;NA;NA;NA;
5;10;72.5;73.07;60.15;NA;56.42;65.57;67.18;71.94;47.61;NA;NA;NA;
5;11;75.3;72.18;59.32;NA;ND;ND;70.37;73.58;62.6;NA;NA;NA;
5;12;65.76;71.4;65.44;NA;55.93;ND;72.91;71.45;68.16;NA;NA;NA;
5;13;65.81;65.76;75.36;NA;45.86;67.79;65.09;73.43;62.22;NA;NA;NA;
5;14;49.39;59.18;56.71;NA;31.24;44.87;60.34;66.99;52.96;NA;NA;NA;
5;15;41.07;41.4;48.11;NA;29.37;49.9;42.66;43.13;49.19;NA;NA;NA;
5;16;34.99;46.42;24.17;NA;27.87;ND;29.95;39.04;28.37;NA;NA;NA;
5;17;19.87;38.08;12.53;NA;17.86;ND;39.43;36.45;15.54;NA;NA;NA;
5;18;11.74;31.57;2.34;NA;10.94;2.45;19.04;29.61;7.33;NA;NA;NA;
5;19;5.02;27.74;1.52;NA;8.8;1.14;30.87;20.61;3.61;NA;NA;NA;
5;20;5.11;12.85;0.6;NA;4.6;1.1;23.75;3.55;0.91;NA;NA;NA;
5;21;4.17;14.74;3.64;NA;4.2;1.16;10.92;7.38;0.55;NA;NA;NA;
5;22;7.08;3.81;7.93;NA;2.91;0.95;29.48;11.12;6.5;NA;NA;NA;
5;23;1.42;3.28;1.04;NA;1.12;0.71;34.92;6.41;0.98;NA;NA;NA;
6;0;1.74;2.4;0.2;NA;5.98;0.85;28.59;3.57;0.21;NA;NA;NA;
6;1;1.71;10.9;2.09;NA;11.7;4.97;25.74;3.19;0.52;NA;NA;NA;
6;2;0.42;0.43;ND;NA;13.52;ND;23.8;2.9;0.56;NA;NA;NA;
6;3;2.08;1.68;4.17;NA;13.06;12.31;17.88;0.29;0.43;NA;NA;NA;
6;4;0.08;0.97;18.64;NA;6.88;10.61;21.56;0.18;0.34;NA;NA;NA;
6;5;0.25;0.56;8.19;NA;2.84;2.17;4.36;0.37;0.51;NA;NA;NA;
6;6;1.85;1.67;2.63;NA;5.01;3.93;10.18;1.46;1.56;NA;NA;NA;
6;7;20.26;21.13;12.57;NA;9.22;11.15;31.23;5.77;9.81;NA;NA;NA;
6;8;41.57;25.04;23.55;NA;24.72;37.06;52.03;21.82;30.4;NA;NA;NA;
6;9;53.42;47.2;40.26;NA;46.29;50.96;59.35;53.71;40.59;NA;NA;NA;
6;10;ND;60.9;53.75;NA;44.1;56.49;65.32;73.31;44.77;NA;NA;NA;
6;11;ND;63.75;56.15;NA;51.41;63.5;63.29;74.33;62.17;NA;NA;NA;
6;12;ND;61.91;60.73;NA;ND;73.15;64.22;63.83;54.1;NA;NA;NA;
6;13;ND;53.28;51.89;NA;44.81;63.24;63.23;52.82;53.55;NA;NA;NA;
6;14;53.77;55.54;51.06;NA;40.69;56.32;60.66;49.62;50.48;NA;NA;NA;
6;15;56.29;64.39;60.44;NA;38.49;58.89;55.23;59.19;45.18;NA;NA;NA;
6;16;50.46;55.92;53.87;NA;33.94;48.96;52.69;54.92;49.86;NA;NA;NA;
6;17;50.61;44.32;49.37;NA;25.26;22.9;33.5;44.3;37.71;NA;NA;NA;
6;18;45.19;36.38;15.74;NA;18.98;7.37;16.53;35.11;35.92;NA;NA;NA;
6;19;33.44;31.07;2.86;NA;18.32;5.15;17.31;33.81;30.89;NA;NA;NA;
6;20;8.49;26.68;1.61;NA;13.23;4.93;18.57;37.62;29.3;NA;NA;NA;
6;21;12.08;25.79;2.54;NA;11.32;6.07;25.46;27.69;14.28;NA;NA;NA;
6;22;18.82;21.14;0.67;NA;2.13;3.39;24.05;23.76;11.37;NA;NA;NA;
6;23;8.46;8.32;3.59;NA;3.42;1.79;29.96;18.72;12.16;NA;NA;NA;
7;0;3.65;10.69;4.11;NA;13.93;3.39;26.27;ND;7.93;NA;NA;NA;
7;1;11.94;6.32;2.3;NA;11.63;3.86;ND;23.85;ND;NA;NA;NA;
7;2;14.56;ND;5.4;NA;ND;3.2;19.48;24.08;5.98;NA;NA;NA;
7;3;5.95;9.93;13.18;NA;17.77;13.17;12.64;24.74;5.14;NA;NA;NA;
7;4;10.11;5.63;10.09;NA;11.48;14.43;15.68;17.7;4.15;NA;NA;NA;
7;5;12.89;0.9;3.2;NA;2.57;4.08;6.57;3.31;1.08;NA;NA;NA;
7;6;3.66;4.27;8.42;NA;3.6;4.75;24.34;3.4;1.92;NA;NA;NA;
7;7;27.81;21.61;10.76;NA;15.98;12.36;45.39;8.78;7.11;NA;NA;NA;
7;8;42.42;42.62;25.22;NA;19.52;22.56;50.44;23.13;10.29;NA;NA;NA;
7;9;64.35;59.99;49.22;NA;42.41;50.92;51.97;45.21;37.58;NA;NA;NA;
7;10;77.77;68.63;48.54;NA;49.78;60.31;66.28;65.12;48.05;NA;NA;NA;
7;11;80.54;ND;58;NA;58.73;68;74.74;78.89;58.62;NA;NA;NA;
7;12;86.89;ND;66.86;NA;60.03;73.65;77.37;74.15;68.32;NA;NA;NA;
7;13;69.46;64.33;65.34;NA;56.06;73.2;73.49;65.6;62.94;NA;NA;NA;
7;14;60.03;59.93;65.2;NA;51.81;75.77;70.08;68.08;49.08;NA;NA;NA;
7;15;57.94;ND;59.37;NA;42.62;65.82;61.33;63.22;61.95;NA;NA;NA;
7;16;59.92;ND;57.86;NA;38.76;61.7;58.12;57.44;61.04;NA;NA;NA;
7;17;51.33;44.2;49.3;NA;31.19;35.09;35.24;47.88;45.53;NA;NA;NA;
7;18;40.08;36.37;34.91;NA;36.94;27.86;34.47;39.33;32.27;NA;NA;NA;
7;19;39.45;31.97;24.67;NA;16.18;25.74;33.89;34.69;8.24;NA;NA;NA;
7;20;33.59;27.78;26.5;NA;13.92;19.8;23.64;21.1;16.85;NA;NA;NA;
7;21;19.42;23.24;6.95;NA;7.49;6.06;16.02;8.89;12.17;NA;NA;NA;
7;22;22.63;22.37;10.9;NA;4.84;3.09;3.15;22.65;3.28;NA;NA;NA;
7;23;31.1;29.12;5.53;NA;6.44;9.65;8.78;6.49;4.47;NA;NA;NA;
8;0;17.22;15.83;6.85;NA;1.57;2.93;34.96;6.81;0.87;NA;NA;NA;
8;1;25.07;24.6;16.98;NA;5.21;14.89;48.21;10.81;1.46;NA;NA;NA;
8;2;ND;17.06;33.8;NA;25.59;ND;48.78;7.63;0.06;NA;NA;NA;
8;3;16.32;15.04;44.2;NA;31.36;36.1;48.18;0.17;0.22;NA;NA;NA;
8;4;13.42;10.5;44.34;NA;22.87;33.98;49.08;7.13;0.72;NA;NA;NA;
8;5;4.85;2.19;43.45;NA;8.3;30.91;47.44;0.73;1.34;NA;NA;NA;
8;6;4.43;2.91;22.38;NA;7.15;19.27;48.63;3.9;1.94;NA;NA;NA;
8;7;12.05;10.08;36.7;NA;13.61;31.24;48.31;4.59;5.01;NA;NA;NA;
8;8;47.94;42.92;47.59;NA;37.54;49.2;56.57;21.02;5.95;NA;NA;NA;
8;9;61.45;54.53;53.28;NA;54.08;61.94;59.89;36.99;37.32;NA;NA;NA;
8;10;65.85;64.33;ND;NA;55.15;63.14;68.17;56.17;68.33;NA;NA;NA;
8;11;70.57;59.99;ND;NA;51.07;62.01;66.67;55.34;57.23;NA;NA;NA;
8;12;66.69;58.18;ND;NA;50.27;ND;62.56;53.14;56.3;NA;NA;NA;
8;13;56.96;51.81;47.68;NA;47.79;58.61;55.79;51.76;50.76;NA;NA;NA;
8;14;48.06;51.69;44.48;NA;43.8;54.27;ND;46.47;47.83;NA;NA;NA;
8;15;47.14;51.96;40.4;NA;33.03;46.28;ND;42.49;40.72;NA;NA;NA;
8;16;46.64;48.14;33.14;NA;28.39;35.29;34.62;45.55;42.13;NA;NA;NA;
8;17;39.27;41.98;30.91;NA;27.9;27.86;ND;45.51;35.75;NA;NA;NA;
8;18;26.88;34.31;13.15;NA;20.57;14.57;ND;30.51;24.27;NA;NA;NA;
8;19;9.17;32.48;12.22;NA;8.2;15.94;ND;17.01;28.52;NA;NA;NA;
8;20;4.64;26.63;1.57;NA;ND;21.19;35.32;13.85;10.42;NA;NA;NA;
8;21;3.72;26.38;2.14;NA;ND;4.27;39.01;11.24;8.09;NA;NA;NA;
8;22;4.48;24.3;2.56;NA;ND;15.14;40.53;17.6;3.22;NA;NA;NA;
8;23;20.03;30.33;1.91;NA;ND;19.34;44.51;22.35;9.69;NA;NA;NA;
9;0;21.25;27.67;1.95;NA;22.31;31.35;46.48;ND;10;NA;NA;NA;
9;1;36.72;20.97;2.5;NA;26.5;31.54;48.42;10.2;ND;NA;NA;NA;
9;2;30.02;ND;3.55;NA;ND;32.1;49.35;10.97;0.87;NA;NA;NA;
9;3;32.73;26.22;19.81;NA;29.45;32.09;48.27;12.68;0.86;NA;NA;NA;
9;4;22.31;9.44;44.05;NA;27.18;33.77;48.35;7.33;0.63;NA;NA;NA;
9;5;3.57;2.76;36.28;NA;17.15;19.85;46.83;1.67;0.45;NA;NA;NA;
9;6;9.77;4.22;40.24;NA;11.27;22.8;47.56;2.49;2.86;NA;NA;NA;
9;7;21.9;20.34;45.67;NA;24.89;32.37;48.89;4.14;5.92;NA;NA;NA;
9;8;50.26;41.43;49.3;NA;34.17;44.58;52.15;12.06;26.82;NA;NA;NA;
9;9;60.85;49.67;54.3;NA;47.74;54.8;57.44;41.82;58.12;NA;NA;NA;
9;10;71.37;65.09;64.07;NA;60.89;ND;66.07;63.09;75.48;NA;NA;NA;
9;11;70.15;66.63;62.64;NA;58.85;ND;61.66;62.84;66.81;NA;NA;NA;
9;12;68.24;62.83;57.88;NA;49.34;ND;56.93;61.48;61.69;NA;NA;NA;
9;13;61.47;56.68;54.21;NA;50.69;ND;56.54;58.9;53.78;NA;NA;NA;
9;14;58.43;55.62;51.13;NA;48.64;56.99;55.37;57.83;53.07;NA;NA;NA;
9;15;63.47;58.52;47.46;NA;44.49;48.63;53.01;55.81;50.97;NA;NA;NA;
9;16;52.48;53.86;43.81;NA;29.84;43.22;45.53;51.64;48.29;NA;NA;NA;
9;17;50.07;48.56;35.23;NA;26.21;39.53;36.57;48.45;44.67;NA;NA;NA;
9;18;38.38;41.42;29.23;NA;25.85;37.5;25.55;41.34;27.46;NA;NA;NA;
9;19;29.29;33.87;31.99;NA;16.37;24.35;32.75;38.53;22.84;NA;NA;NA;
9;20;26.45;34.85;19.79;NA;11.89;15.36;33.51;37.18;24.68;NA;NA;NA;
9;21;28.32;33.21;17.13;NA;7.19;14.26;32.62;33.43;28.66;NA;NA;NA;
9;22;29.94;32.18;36.16;NA;13.76;17.48;27.92;36.61;30.33;NA;NA;NA;
9;23;22.69;34.07;37.19;NA;25.05;22.36;26.04;33.9;28.44;NA;NA;NA;
10;0;32.08;33.21;35.14;NA;26.39;24.86;23.77;16.36;13.4;NA;NA;NA;
10;1;36.87;32.5;31.43;NA;17.09;16.21;ND;4.4;23.02;NA;NA;NA;
10;2;ND;18.92;ND;NA;6.3;14.8;23.55;6.87;6.52;NA;NA;NA;
10;3;21.48;12.05;6.88;NA;3.61;9.49;28.72;6.07;5.47;NA;NA;NA;
10;4;14.17;0.82;6.52;NA;2.74;5.76;16.5;7.24;4.39;NA;NA;NA;
10;5;8.65;0.99;1.25;NA;2.67;5.07;6.12;1.69;2.15;NA;NA;NA;
10;6;16.82;3.71;5.93;NA;4.9;6.43;15.21;5.53;3.71;NA;NA;NA;
10;7;29.1;24.9;23.36;NA;14.43;21.35;38.74;11.18;13.32;NA;NA;NA;
10;8;56.46;50.77;46.83;NA;31.82;46.39;58.61;27.68;38.98;NA;NA;NA;
10;9;72.71;58.7;71.8;NA;50.67;69.3;67.27;61.92;25.05;NA;NA;NA;
