DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;6.1;5.72;10.87;ND;36.93;13.18;NA;NA;ND;NA;NA;NA;
1;1;5.57;3.64;12.73;16.04;25.72;19.64;NA;NA;ND;NA;NA;NA;
1;2;6.17;3.41;12.14;12.15;22.85;10.43;NA;NA;ND;NA;NA;NA;
1;3;4.02;5.31;11.45;14.5;8.77;15.49;NA;NA;ND;NA;NA;NA;
1;4;2.59;11.8;8.34;4.69;9.26;6.32;NA;NA;ND;NA;NA;NA;
1;5;6.53;8.8;9.54;9.41;19.69;8.08;NA;NA;ND;NA;NA;NA;
1;6;3.16;9.62;9.6;5.36;21.5;14.24;NA;NA;ND;NA;NA;NA;
1;7;9.19;5.1;12.48;12.48;21.06;6.07;NA;NA;ND;NA;NA;NA;
1;8;13.4;12.05;8.25;7.93;12;10.59;NA;NA;ND;NA;NA;NA;
1;9;6.7;1.71;12.61;8.68;23.38;8.5;NA;NA;ND;NA;NA;NA;
1;10;10.48;18.89;14.8;11.53;20.94;21.13;NA;NA;ND;NA;NA;NA;
1;11;20.44;1.26;13.89;12.61;14.13;9.65;NA;NA;ND;NA;NA;NA;
1;12;7.35;13.8;12.13;10.63;7.14;6.63;NA;NA;ND;NA;NA;NA;
1;13;12.79;3.57;10.57;8.87;14.66;9.31;NA;NA;ND;NA;NA;NA;
1;14;7.41;8.42;4.92;2.69;10.9;11.3;NA;NA;ND;NA;NA;NA;
1;15;12.28;12.75;12.42;11.83;15.15;10.6;NA;NA;ND;NA;NA;NA;
1;16;9.66;5.35;10.17;12.81;18.58;12.89;NA;NA;ND;NA;NA;NA;
1;17;12.61;19.64;17.8;6.73;17.84;9.27;NA;NA;ND;NA;NA;NA;
1;18;13.67;11.93;13.13;8.87;24.58;15.63;NA;NA;ND;NA;NA;NA;
1;19;7.94;8.54;12.07;6.66;17.77;16.57;NA;NA;ND;NA;NA;NA;
1;20;6.08;18;23.12;7.25;23.24;6.64;NA;NA;ND;NA;NA;NA;
1;21;6.02;10.12;8.35;11.42;17.23;13.67;NA;NA;ND;NA;NA;NA;
1;22;12.43;6.31;18.31;20.29;20.65;19.51;NA;NA;ND;NA;NA;NA;
1;23;8.94;11.43;ND;14.02;ND;20.6;NA;NA;ND;NA;NA;NA;
2;0;16.31;10.35;20.18;ND;24.35;14.39;NA;NA;ND;NA;NA;NA;
2;1;12.74;11.88;15.63;22.45;14.04;17.53;NA;NA;ND;NA;NA;NA;
2;2;9.69;9.92;19;17.43;13.17;17.58;NA;NA;ND;NA;NA;NA;
2;3;10.88;5.7;15.25;19.62;24.27;15.71;NA;NA;ND;NA;NA;NA;
2;4;9.65;11.52;15.94;14.1;24.36;20.39;NA;NA;ND;NA;NA;NA;
2;5;9.06;7.41;17.64;16.83;22.05;16.2;NA;NA;ND;NA;NA;NA;
2;6;20.22;19.28;13.08;25.54;42.82;39.56;NA;NA;ND;NA;NA;NA;
2;7;18.03;15.51;31.49;31.51;47.46;49.83;NA;NA;ND;NA;NA;NA;
2;8;10.26;9.56;31.33;17.95;45.34;26.5;NA;NA;ND;NA;NA;NA;
2;9;10.94;1.51;14.51;11.47;29.24;32.56;NA;NA;ND;NA;NA;NA;
2;10;15.67;11.88;10.63;24.67;13.39;11.62;NA;NA;ND;NA;NA;NA;
2;11;15.45;8.75;6.68;11.52;9.41;4.91;NA;NA;ND;NA;NA;NA;
2;12;8.02;16.82;1.62;7.3;2.02;2.41;NA;NA;ND;NA;NA;NA;
2;13;12.02;6.68;17.62;14.17;8.28;3.21;NA;NA;ND;NA;NA;NA;
2;14;11.63;9.19;32.16;8.16;18.77;8.32;NA;NA;ND;NA;NA;NA;
2;15;5.4;10.97;25.04;13.65;20.89;6.84;NA;NA;ND;NA;NA;NA;
2;16;11.46;12.29;22.78;9.74;20.12;9.94;NA;NA;ND;NA;NA;NA;
2;17;20.39;11.31;7.95;7.9;5.25;5.98;NA;NA;ND;NA;NA;NA;
2;18;6.48;18.25;5.3;14.17;19.77;22.59;NA;NA;ND;NA;NA;NA;
2;19;6.21;13;13.14;10.04;19.46;14.51;NA;NA;ND;NA;NA;NA;
2;20;6.92;8.48;15.42;8.62;8.84;18.54;NA;NA;ND;NA;NA;NA;
2;21;8.58;1.31;15;18.91;19.67;18.16;NA;NA;ND;NA;NA;NA;
2;22;6.68;8.55;9.15;10.14;18.43;9.65;NA;NA;ND;NA;NA;NA;
2;23;17.76;3.4;ND;24.85;ND;12.53;NA;NA;ND;NA;NA;NA;
3;0;7.2;16.42;23.39;ND;16.57;13.63;NA;NA;ND;NA;NA;NA;
3;1;13.77;9.97;16.23;19.37;12.94;14.06;NA;NA;ND;NA;NA;NA;
3;2;4.66;11.25;12.46;11.56;16.34;10.51;NA;NA;ND;NA;NA;NA;
3;3;15.35;8.99;11.52;12.1;10.48;13.62;NA;NA;ND;NA;NA;NA;
3;4;7.61;2.27;12.82;12.05;19.61;12.84;NA;NA;ND;NA;NA;NA;
3;5;11.28;6.8;12.47;15.56;15.99;15.09;NA;NA;ND;NA;NA;NA;
3;6;8.03;12.58;11.39;13.66;17.17;13.64;NA;NA;ND;NA;NA;NA;
3;7;23.23;8.96;22.5;29.46;18.85;26.52;NA;NA;ND;NA;NA;NA;
3;8;27.45;28.04;31.63;36.25;30.57;21.82;NA;NA;ND;NA;NA;NA;
3;9;30.04;12.29;16.72;29.53;34.49;27.26;NA;NA;ND;NA;NA;NA;
3;10;18.43;17.76;33.86;28.58;23.19;20.15;NA;NA;ND;NA;NA;NA;
3;11;14.01;7.27;26.31;24.1;24.04;34.51;NA;NA;ND;NA;NA;NA;
3;12;8.14;2.95;9.91;4.26;20.17;17.58;NA;NA;ND;NA;NA;NA;
3;13;10.63;14.82;18.4;16.65;16.15;21.58;NA;NA;ND;NA;NA;NA;
3;14;10.41;20.94;14.32;11.6;19.65;16.97;NA;NA;ND;NA;NA;NA;
3;15;5.23;5.16;6.21;5.41;10.23;3.97;NA;NA;ND;NA;NA;NA;
3;16;10.18;13.43;15.65;11.25;13.62;14.75;NA;NA;ND;NA;NA;NA;
3;17;6.97;12.55;12.61;6.12;7.55;9.38;NA;NA;ND;NA;NA;NA;
3;18;12.94;13.14;11.01;10.52;28.54;15.33;NA;NA;ND;NA;NA;NA;
3;19;6.03;4.03;19.29;11.35;29.92;21.95;NA;NA;ND;NA;NA;NA;
3;20;15.22;13.1;20.76;26.77;37.03;13.05;NA;NA;ND;NA;NA;NA;
3;21;6.29;11.24;19.47;16.73;17.65;14.62;NA;NA;ND;NA;NA;NA;
3;22;12.85;11.21;19.38;21.5;18.52;15.68;NA;NA;ND;NA;NA;NA;
3;23;16.45;8.89;ND;15.54;ND;16.13;NA;NA;ND;NA;NA;NA;
4;0;9.99;11.71;19.01;ND;33.49;15.99;NA;NA;ND;NA;NA;NA;
4;1;8.9;1.27;14.5;15.01;17.67;17.89;NA;NA;ND;NA;NA;NA;
4;2;10.11;7.29;11.58;16.73;11.52;12.76;NA;NA;ND;NA;NA;NA;
4;3;7.08;11.2;9.27;12.91;6.5;9.06;NA;NA;ND;NA;NA;NA;
4;4;10.25;5.08;13.19;8.07;10.53;8.19;NA;NA;ND;NA;NA;NA;
4;5;11.3;4.72;4.78;15.74;18.2;15.75;NA;NA;ND;NA;NA;NA;
4;6;12.12;8.05;14.37;15.19;27.96;9.76;NA;NA;ND;NA;NA;NA;
4;7;21.59;22.6;22.7;20.04;41.79;17.71;NA;NA;ND;NA;NA;NA;
4;8;10.19;5.28;24.09;16.86;28.32;22.2;NA;NA;ND;NA;NA;NA;
4;9;7.05;1.98;7.33;10.73;18.79;18.15;NA;NA;ND;NA;NA;NA;
4;10;9.17;14.94;10.83;8.92;11.68;5.36;NA;NA;ND;NA;NA;NA;
4;11;11.49;4.75;7.35;14.02;7.82;5.09;NA;NA;ND;NA;NA;NA;
4;12;8.06;12.05;0.38;2.31;0;4.64;NA;NA;ND;NA;NA;NA;
4;13;15.53;17.57;10.37;15.99;9.75;6.48;NA;NA;ND;NA;NA;NA;
4;14;9.87;12.73;14.05;14.88;9.88;3.81;NA;NA;ND;NA;NA;NA;
4;15;13.23;12.02;17.8;14.5;9.33;9.02;NA;NA;ND;NA;NA;NA;
4;16;13.16;8.81;5.58;12.66;12.06;6.51;NA;NA;ND;NA;NA;NA;
4;17;15.06;19.82;24.17;20.97;19.01;16.57;NA;NA;ND;NA;NA;NA;
4;18;7.68;10.64;17.36;7.29;25.51;17.87;NA;NA;ND;NA;NA;NA;
4;19;13.36;11.61;17.18;12;25.27;13.66;NA;NA;ND;NA;NA;NA;
4;20;12.81;10.6;24.9;17.61;23.68;26.54;NA;NA;ND;NA;NA;NA;
4;21;14.84;16.21;24.45;24.29;24.26;24.07;NA;NA;ND;NA;NA;NA;
4;22;20.02;9.03;20.93;18.94;30.08;17.62;NA;NA;ND;NA;NA;NA;
4;23;17.04;5.04;ND;22.56;ND;20.46;NA;NA;ND;NA;NA;NA;
5;0;27.51;8.66;24.1;ND;17.91;24.35;NA;NA;ND;NA;NA;NA;
5;1;14.74;12.79;15.82;18.07;15.07;18.14;NA;NA;ND;NA;NA;NA;
5;2;14.05;8.49;13.67;20.83;13.16;11.84;NA;NA;ND;NA;NA;NA;
5;3;13.42;9.07;16.06;18.98;18.87;17.87;NA;NA;ND;NA;NA;NA;
5;4;21;12.99;26.04;20.2;22.37;18.29;NA;NA;ND;NA;NA;NA;
5;5;16.61;15.99;15.73;20.55;23.41;19.14;NA;NA;ND;NA;NA;NA;
5;6;25.92;19.03;19;15.74;32.41;16.36;NA;NA;ND;NA;NA;NA;
5;7;28.14;27.7;24.47;22.42;35.92;33.55;NA;NA;ND;NA;NA;NA;
5;8;25.99;7.07;17.67;15.4;24.66;30.54;NA;NA;ND;NA;NA;NA;
5;9;16.38;10.1;12.42;7.01;12.18;14.27;NA;NA;ND;NA;NA;NA;
5;10;7.69;4.33;17.13;7.52;19.71;14.54;NA;NA;ND;NA;NA;NA;
5;11;13.46;19.89;ND;6.05;9.5;2.29;NA;NA;ND;NA;NA;NA;
5;12;16.24;15.82;ND;14.24;4.57;3.55;NA;NA;ND;NA;NA;NA;
5;13;11.81;12.14;ND;13.69;9.71;12.9;NA;NA;ND;NA;NA;NA;
5;14;9.46;15.03;ND;6.69;12.64;9.8;NA;NA;ND;NA;NA;NA;
5;15;8.64;4.91;16.05;8.95;11.39;2.51;NA;NA;ND;NA;NA;NA;
5;16;8.53;10.07;9.92;9.07;14.64;4.24;NA;NA;ND;NA;NA;NA;
5;17;11.93;12.37;9.35;11.91;12.52;19.64;NA;NA;ND;NA;NA;NA;
5;18;7.54;17.27;19.06;13.9;11.79;14.09;NA;NA;ND;NA;NA;NA;
5;19;11.19;14.8;12.83;9.06;21.33;14.89;NA;NA;ND;NA;NA;NA;
5;20;6.71;8.93;17.54;10.64;16.58;18.35;NA;NA;ND;NA;NA;NA;
5;21;8.01;7.61;14.14;7.34;21.56;15.66;NA;NA;ND;NA;NA;NA;
5;22;8.43;4.62;11.48;7.73;24.01;14.66;NA;NA;ND;NA;NA;NA;
5;23;10.39;13.02;ND;2.34;ND;17.76;NA;NA;ND;NA;NA;NA;
6;0;7.99;11.11;16.97;ND;14.36;12.42;NA;NA;ND;NA;NA;NA;
6;1;19.31;12.37;18.16;25.72;18.74;16.78;NA;NA;ND;NA;NA;NA;
6;2;15.83;15.81;18.24;19.02;15.44;16.43;NA;NA;ND;NA;NA;NA;
6;3;21.53;17.22;17.14;21.27;17.38;19.13;NA;NA;ND;NA;NA;NA;
6;4;24.66;8.1;13.73;18.44;12.24;13.61;NA;NA;ND;NA;NA;NA;
6;5;20.95;14.21;19.63;19.97;11.5;13.8;NA;NA;ND;NA;NA;NA;
6;6;45.51;21.5;18.72;18.95;8;21.91;NA;NA;ND;NA;NA;NA;
6;7;55.81;29.98;32.64;31.67;22.1;29.56;NA;NA;ND;NA;NA;NA;
6;8;66.18;13.57;37.77;39.52;41.05;29.67;NA;NA;ND;NA;NA;NA;
6;9;27.24;18.98;36;28.4;25.54;41.89;NA;NA;ND;NA;NA;NA;
6;10;6.6;4.46;12.89;15.54;14.93;15.86;NA;NA;ND;NA;NA;NA;
6;11;11.73;12.06;17.09;23;7.66;12.87;NA;NA;ND;NA;NA;NA;
6;12;15.47;18.02;18.04;25.12;25.9;16.85;NA;NA;ND;NA;NA;NA;
6;13;13.58;ND;13.23;5.75;14.06;13.75;NA;NA;ND;NA;NA;NA;
6;14;4;5.17;16.33;11.65;16.06;17.36;NA;NA;ND;NA;NA;NA;
6;15;9.34;17.78;10.88;1.91;23.97;14.42;NA;NA;ND;NA;NA;NA;
6;16;19.66;20.7;14.46;15.83;18.52;13.51;NA;NA;ND;NA;NA;NA;
6;17;9.82;19.84;19.51;11.54;14.52;15.81;NA;NA;ND;NA;NA;NA;
6;18;16.29;3.86;17.98;9.93;25.04;13.51;NA;NA;ND;NA;NA;NA;
6;19;18.42;21.84;15.91;13.36;27.2;23.07;NA;NA;ND;NA;NA;NA;
6;20;14.01;13.51;28.2;17.07;38.44;27.73;NA;NA;ND;NA;NA;NA;
6;21;19.35;2.95;21.29;23.22;29.24;22.28;NA;NA;ND;NA;NA;NA;
6;22;12.65;32.12;21.61;20.69;21.04;15.9;NA;NA;ND;NA;NA;NA;
6;23;20.77;6.65;ND;20.06;ND;18.52;NA;NA;ND;NA;NA;NA;
7;0;24.92;34.04;19.55;ND;19.65;23.79;NA;NA;ND;NA;NA;NA;
7;1;21.06;25.34;18.91;27.96;20.31;23.08;NA;NA;ND;NA;NA;NA;
7;2;20.7;17.1;18.69;20.1;16.98;15.92;NA;NA;ND;NA;NA;NA;
7;3;22.35;17.38;19.16;15.22;21.88;21.34;NA;NA;ND;NA;NA;NA;
7;4;24.42;10.6;13.16;16.86;17.76;18.95;NA;NA;ND;NA;NA;NA;
7;5;18.39;23.8;18.89;22.71;35.53;24.19;NA;NA;ND;NA;NA;NA;
7;6;22.34;35;24.03;23.98;41.88;22.01;NA;NA;ND;NA;NA;NA;
7;7;25.43;26.31;25.09;33.88;49.6;22.73;NA;NA;ND;NA;NA;NA;
7;8;19.1;18.66;27.32;33.85;24.24;29.09;NA;NA;ND;NA;NA;NA;
7;9;29.05;15.99;17.74;22.94;16.94;18.07;NA;NA;ND;NA;NA;NA;
7;10;15.74;30.89;7.95;14.16;3.32;7.77;NA;NA;ND;NA;NA;NA;
7;11;18.8;24.31;11.23;16.56;14.37;15.29;NA;NA;ND;NA;NA;NA;
7;12;23.13;11.99;15.99;15.4;17.84;8.15;NA;NA;ND;NA;NA;NA;
7;13;23.11;17.02;16.93;14.41;15.99;15.2;NA;NA;ND;NA;NA;NA;
7;14;13.69;13.25;17.28;18.82;33.28;23.84;NA;NA;ND;NA;NA;NA;
7;15;20.32;9.93;15.77;15.04;13.5;12.6;NA;NA;ND;NA;NA;NA;
7;16;14.66;7.31;16.48;10;11.76;17.08;NA;NA;ND;NA;NA;NA;
7;17;4.61;27.33;19.07;14.72;17.53;6.25;NA;NA;ND;NA;NA;NA;
7;18;15.47;16.65;23.68;8.15;7.34;16.31;NA;NA;ND;NA;NA;NA;
7;19;7.97;4.75;11.72;19.96;19.44;15.74;NA;NA;ND;NA;NA;NA;
7;20;10.17;3.57;16.18;20.18;27.07;15.99;NA;NA;ND;NA;NA;NA;
7;21;14.8;10.7;15.86;15.31;27.34;8.13;NA;NA;ND;NA;NA;NA;
7;22;10.9;12.54;13.49;15.34;14.68;9.12;NA;NA;ND;NA;NA;NA;
7;23;8.23;9.93;ND;19.87;ND;18.06;NA;NA;ND;NA;NA;NA;
8;0;15.09;10.82;6.38;ND;20.38;10.84;NA;NA;ND;NA;NA;NA;
8;1;12.68;15.04;18.24;14.54;18.88;19.58;NA;NA;ND;NA;NA;NA;
8;2;12.75;12.04;18.1;22.76;26.81;16.4;NA;NA;ND;NA;NA;NA;
8;3;11.6;8.85;10.66;17.22;15.92;16.48;NA;NA;ND;NA;NA;NA;
8;4;9.2;11.57;12.52;13.78;25.34;20.81;NA;NA;ND;NA;NA;NA;
8;5;15.83;13.96;16.67;21.31;24.32;17.08;NA;NA;ND;NA;NA;NA;
8;6;18.43;15.58;18.7;19.91;43.38;27.25;NA;NA;ND;NA;NA;NA;
8;7;11.34;9.21;12.24;15.92;38.13;39.46;NA;NA;ND;NA;NA;NA;
8;8;13.71;7.84;19.07;15.43;25.76;34.26;NA;NA;ND;NA;NA;NA;
8;9;18.71;20.09;19.2;19.2;16.22;9.94;NA;NA;ND;NA;NA;NA;
8;10;15.23;14.71;26.41;21.95;25.86;16.9;NA;NA;ND;NA;NA;NA;
8;11;12.1;20.63;13.78;19.97;24.48;12.64;NA;NA;ND;NA;NA;NA;
8;12;19.22;20.44;10.48;14.46;16.08;10.55;NA;NA;ND;NA;NA;NA;
8;13;15.74;14.06;6.06;9.54;9.1;11.18;NA;NA;ND;NA;NA;NA;
8;14;22.7;5.71;12.86;20.14;10.7;7.7;NA;NA;ND;NA;NA;NA;
8;15;14.29;31.53;14.09;22.58;19.17;21.84;NA;NA;ND;NA;NA;NA;
8;16;15.65;18.04;19.85;9.24;6.07;18.48;NA;NA;ND;NA;NA;NA;
8;17;12.17;8.31;18.19;13.57;20.25;15.76;NA;NA;ND;NA;NA;NA;
8;18;18.76;28.46;22.39;12.93;18.95;18.69;NA;NA;ND;NA;NA;NA;
8;19;14.66;12.4;23.6;14.15;17.13;22.16;NA;NA;ND;NA;NA;NA;
8;20;10.41;12.7;17.27;9.27;16.62;ND;NA;NA;ND;NA;NA;NA;
8;21;12.77;8.46;8.72;21.63;13.3;ND;NA;NA;ND;NA;NA;NA;
8;22;9.07;12.02;14.23;6.89;22.42;ND;NA;NA;ND;NA;NA;NA;
8;23;11.78;14.21;ND;14.45;ND;ND;NA;NA;ND;NA;NA;NA;
9;0;27.24;22.34;16.43;ND;27.79;12.39;NA;NA;ND;NA;NA;NA;
9;1;14.56;9.05;11.38;17.47;22.68;19.65;NA;NA;ND;NA;NA;NA;
9;2;11.83;17.12;15.02;15.51;11.64;13.48;NA;NA;ND;NA;NA;NA;
9;3;6.25;17.15;14.38;15.84;27.19;16.15;NA;NA;ND;NA;NA;NA;
9;4;12.44;17.32;21.65;18.74;25.17;22.2;NA;NA;ND;NA;NA;NA;
9;5;11.62;17.31;12.37;15.65;18.73;20.26;NA;NA;ND;NA;NA;NA;
