DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;11.85;14.31;2.88;ND;20.9;ND;NA;NA;ND;NA;NA;NA;
1;1;13.43;26.7;12.92;ND;9.54;11.2;NA;NA;ND;NA;NA;NA;
1;2;14.72;24.65;7.16;ND;12.7;6.34;NA;NA;ND;NA;NA;NA;
1;3;6.55;20.68;1.64;ND;5.52;5.64;NA;NA;ND;NA;NA;NA;
1;4;13.31;12.83;7;ND;7.85;11.26;NA;NA;ND;NA;NA;NA;
1;5;9;25.38;4.82;ND;8.74;9.17;NA;NA;ND;NA;NA;NA;
1;6;12.48;22.25;4.56;ND;15.44;10.05;NA;NA;ND;NA;NA;NA;
1;7;9.15;10.96;1.49;ND;1.56;3.41;NA;NA;ND;NA;NA;NA;
1;8;6.86;12.38;10.61;ND;0.92;10.81;NA;NA;ND;NA;NA;NA;
1;9;9.96;15.09;5.16;ND;8.99;5.39;NA;NA;ND;NA;NA;NA;
1;10;8.06;8.23;4.55;ND;14.99;8.83;NA;NA;ND;NA;NA;NA;
1;11;8.23;8.19;4.43;ND;9.87;4.21;NA;NA;ND;NA;NA;NA;
1;12;7.36;10.58;4.26;ND;3.69;22.5;NA;NA;ND;NA;NA;NA;
1;13;16.33;18.17;1.09;ND;14.11;38.25;NA;NA;ND;NA;NA;NA;
1;14;14.76;14.05;7.08;ND;11.79;13.45;NA;NA;ND;NA;NA;NA;
1;15;5.09;16.08;8.91;ND;2.04;0;NA;NA;ND;NA;NA;NA;
1;16;10.39;17.32;6.65;ND;6.97;0;NA;NA;ND;NA;NA;NA;
1;17;9.58;12.67;15.48;ND;8.25;4.98;NA;NA;ND;NA;NA;NA;
1;18;12.72;23.9;24.18;ND;17.03;27.31;NA;NA;ND;NA;NA;NA;
1;19;10.37;10.52;20.69;ND;17.13;35.64;NA;NA;ND;NA;NA;NA;
1;20;14.1;13.76;14.71;ND;4.18;26.66;NA;NA;ND;NA;NA;NA;
1;21;14.76;14.76;14.91;ND;36.63;23.33;NA;NA;ND;NA;NA;NA;
1;22;7.84;21.41;10.78;ND;9.13;12.79;NA;NA;ND;NA;NA;NA;
1;23;6.35;ND;4.21;ND;31.88;6.67;NA;NA;ND;NA;NA;NA;
2;0;2.9;20.2;21.94;ND;5.45;ND;NA;NA;ND;NA;NA;NA;
2;1;7.88;17.86;4.39;ND;7.87;7.97;NA;NA;ND;NA;NA;NA;
2;2;9.86;22.92;4.48;ND;7.75;5.69;NA;NA;ND;NA;NA;NA;
2;3;11;18.02;4.64;ND;8.88;8.43;NA;NA;ND;NA;NA;NA;
2;4;13.47;25.68;4.21;ND;3.35;4.82;NA;NA;ND;NA;NA;NA;
2;5;30.78;30.38;3.56;ND;11.81;3.05;NA;NA;ND;NA;NA;NA;
2;6;18.04;34.45;1.66;ND;5.2;8.15;NA;NA;ND;NA;NA;NA;
2;7;9.36;19.37;2.38;ND;6.65;0.5;NA;NA;ND;NA;NA;NA;
2;8;10.37;13.31;5.79;ND;12.98;8;NA;NA;ND;NA;NA;NA;
2;9;14.6;4.11;3.71;ND;5.94;4.59;NA;NA;ND;NA;NA;NA;
2;10;15.66;16.25;6.37;ND;7.22;3.73;NA;NA;ND;NA;NA;NA;
2;11;1.23;17.19;2.2;ND;9.45;6.7;NA;NA;ND;NA;NA;NA;
2;12;2.69;18.63;2.06;ND;13.89;6.41;NA;NA;ND;NA;NA;NA;
2;13;7.52;14.18;1.15;ND;10.68;8.67;NA;NA;ND;NA;NA;NA;
2;14;5.46;20.86;3.74;ND;7.97;5.42;NA;NA;ND;NA;NA;NA;
2;15;12.01;22.14;4.26;ND;5.37;10.68;NA;NA;ND;NA;NA;NA;
2;16;5.97;4.42;18.11;ND;9.45;12.25;NA;NA;ND;NA;NA;NA;
2;17;8.27;12.26;7.29;ND;10.16;4.79;NA;NA;ND;NA;NA;NA;
2;18;8.15;15.06;17.73;ND;27.13;4.57;NA;NA;ND;NA;NA;NA;
2;19;10.92;21.5;8.51;ND;21.41;6.7;NA;NA;ND;NA;NA;NA;
2;20;13.57;16.01;15.91;ND;6.65;17.01;NA;NA;ND;NA;NA;NA;
2;21;4.72;15.29;9.54;ND;4.46;7.21;NA;NA;ND;NA;NA;NA;
2;22;3.05;4.21;6.78;ND;4.55;10.23;NA;NA;ND;NA;NA;NA;
2;23;8.47;ND;3.28;ND;4.82;6.65;NA;NA;ND;NA;NA;NA;
3;0;10.23;4.05;9.13;ND;8.14;ND;NA;NA;ND;NA;NA;NA;
3;1;9.81;11.46;6.73;ND;6.65;7.68;NA;NA;ND;NA;NA;NA;
3;2;1.49;11.51;3.77;ND;4.06;5.69;NA;NA;ND;NA;NA;NA;
3;3;7.91;10.36;3.5;ND;8.94;2.26;NA;NA;ND;NA;NA;NA;
3;4;4.18;4.59;7.81;ND;12.3;8.52;NA;NA;ND;NA;NA;NA;
3;5;13.7;12.32;5.96;ND;5.33;5.94;NA;NA;ND;NA;NA;NA;
3;6;11.88;21.99;9.55;ND;17.4;9.09;NA;NA;ND;NA;NA;NA;
3;7;11.6;25.07;5.87;ND;9.75;3.41;NA;NA;ND;NA;NA;NA;
3;8;11.58;2.75;10.28;ND;4.26;10.75;NA;NA;ND;NA;NA;NA;
3;9;6.81;11.66;11.57;ND;3.9;11.03;NA;NA;ND;NA;NA;NA;
3;10;14.8;12.08;4.63;ND;9.55;0.01;NA;NA;ND;NA;NA;NA;
3;11;9.41;21.79;0.94;ND;5.19;0.35;NA;NA;ND;NA;NA;NA;
3;12;6.56;38.54;0.99;ND;6.14;4.1;NA;NA;ND;NA;NA;NA;
3;13;10.25;42.35;1.73;ND;6.16;2.16;NA;NA;ND;NA;NA;NA;
3;14;8.08;ND;7.03;ND;8.77;8.88;NA;NA;ND;NA;NA;NA;
3;15;10.83;ND;2.49;ND;3.03;9.37;NA;NA;ND;NA;NA;NA;
3;16;8.3;ND;10.03;ND;9.92;22.18;NA;NA;ND;NA;NA;NA;
3;17;19.7;ND;19.02;ND;10.29;12.32;NA;NA;ND;NA;NA;NA;
3;18;12.11;ND;14.01;ND;14.78;13.32;NA;NA;ND;NA;NA;NA;
3;19;5.53;ND;13.82;ND;15.45;10.32;NA;NA;ND;NA;NA;NA;
3;20;17.22;ND;15.5;ND;20.62;9.16;NA;NA;ND;NA;NA;NA;
3;21;4.81;ND;19.09;ND;17.71;16.35;NA;NA;ND;NA;NA;NA;
3;22;2.23;ND;12.46;ND;10.76;14.43;NA;NA;ND;NA;NA;NA;
3;23;12.41;ND;3.57;ND;5.17;1.13;NA;NA;ND;NA;NA;NA;
4;0;10.19;ND;0.38;ND;5.64;ND;NA;NA;ND;NA;NA;NA;
4;1;3.79;ND;5.98;ND;4.82;3.85;NA;NA;ND;NA;NA;NA;
4;2;11.45;ND;3.54;ND;0.47;4.91;NA;NA;ND;NA;NA;NA;
4;3;4.44;ND;3.52;ND;11.48;6.76;NA;NA;ND;NA;NA;NA;
4;4;3.57;ND;6.81;ND;5.75;8.93;NA;NA;ND;NA;NA;NA;
4;5;10.46;ND;2.71;ND;7.74;2.2;NA;NA;ND;NA;NA;NA;
4;6;14.47;ND;4.75;ND;39.62;13.09;NA;NA;ND;NA;NA;NA;
4;7;16.08;ND;3.25;ND;41.68;20.65;NA;NA;ND;NA;NA;NA;
4;8;10.76;ND;4.44;ND;27.05;4.82;NA;NA;ND;NA;NA;NA;
4;9;8.69;ND;4.23;ND;8.4;0.89;NA;NA;ND;NA;NA;NA;
4;10;10.99;ND;7.2;ND;6.52;3.95;NA;NA;ND;NA;NA;NA;
4;11;7;ND;2.71;ND;ND;2.87;NA;NA;ND;NA;NA;NA;
4;12;3.65;ND;1.04;ND;ND;4.69;NA;NA;ND;NA;NA;NA;
4;13;6.62;ND;4.66;ND;ND;8.55;NA;NA;ND;NA;NA;NA;
4;14;11.79;ND;10.37;ND;9.47;3.26;NA;NA;ND;NA;NA;NA;
4;15;18.4;ND;11.08;ND;7.57;6.59;NA;NA;ND;NA;NA;NA;
4;16;12.46;ND;14.63;ND;11.58;4.6;NA;NA;ND;NA;NA;NA;
4;17;20.63;ND;11.54;ND;14.55;9.15;NA;NA;ND;NA;NA;NA;
4;18;21.32;ND;18.37;ND;19.77;14.81;NA;NA;ND;NA;NA;NA;
4;19;34.78;ND;16.89;ND;11.04;11.39;NA;NA;ND;NA;NA;NA;
4;20;17.83;ND;22.51;ND;25.55;18.89;NA;NA;ND;NA;NA;NA;
4;21;10.79;ND;12.95;ND;21.22;17.69;NA;NA;ND;NA;NA;NA;
4;22;12.52;ND;15.6;ND;12.88;25.21;NA;NA;ND;NA;NA;NA;
4;23;9.32;ND;6.55;ND;5.63;8.93;NA;NA;ND;NA;NA;NA;
5;0;16.42;ND;7.41;ND;15.28;ND;NA;NA;ND;NA;NA;NA;
5;1;7.4;ND;3.58;ND;4.24;11.23;NA;NA;ND;NA;NA;NA;
5;2;5.35;ND;3.91;ND;11.55;5.1;NA;NA;ND;NA;NA;NA;
5;3;12.05;ND;5.68;ND;0.9;6.12;NA;NA;ND;NA;NA;NA;
5;4;3.68;ND;1.76;ND;6;8.63;NA;NA;ND;NA;NA;NA;
5;5;8.98;ND;7.41;ND;10.74;2.74;NA;NA;ND;NA;NA;NA;
5;6;8.41;ND;9.73;ND;17.65;9.36;NA;NA;ND;NA;NA;NA;
5;7;17.74;ND;7.07;ND;24.34;10.16;NA;NA;ND;NA;NA;NA;
5;8;20.87;ND;10.23;ND;21.38;17.16;NA;NA;ND;NA;NA;NA;
5;9;7.07;ND;2.12;ND;16.09;2.68;NA;NA;ND;NA;NA;NA;
5;10;5.97;ND;8.8;ND;4.24;5.66;NA;NA;ND;NA;NA;NA;
5;11;ND;ND;4.93;ND;3.22;3.85;NA;NA;ND;NA;NA;NA;
5;12;4.34;ND;3.78;ND;15.97;4.24;NA;NA;ND;NA;NA;NA;
5;13;9.19;ND;16.89;ND;1.6;1.48;NA;NA;ND;NA;NA;NA;
5;14;41.03;ND;4.91;ND;10.56;16.7;NA;NA;ND;NA;NA;NA;
5;15;40.56;ND;9.34;ND;12.67;7.81;NA;NA;ND;NA;NA;NA;
5;16;15.87;ND;8.54;ND;21.8;11.17;NA;NA;ND;NA;NA;NA;
5;17;23.65;ND;18.73;ND;29.25;12.59;NA;NA;ND;NA;NA;NA;
5;18;17.74;ND;30.22;ND;32.46;22.4;NA;NA;ND;NA;NA;NA;
5;19;27.29;ND;25.01;ND;29.75;32.57;NA;NA;ND;NA;NA;NA;
5;20;14.7;ND;24.44;ND;30.54;35.69;NA;NA;ND;NA;NA;NA;
5;21;18.51;ND;22.35;ND;33.77;30.56;NA;NA;ND;NA;NA;NA;
5;22;19.92;ND;27.45;ND;31.22;28.76;NA;NA;ND;NA;NA;NA;
5;23;9.55;ND;22.17;ND;29.47;29.31;NA;NA;ND;NA;NA;NA;
6;0;23.4;ND;15.45;ND;17.99;ND;NA;NA;ND;NA;NA;NA;
6;1;17.76;ND;27.4;ND;35.38;27.77;NA;NA;ND;NA;NA;NA;
6;2;22.7;ND;16.81;ND;28.55;30.78;NA;NA;ND;NA;NA;NA;
6;3;19.55;ND;21.77;ND;21.43;32.4;NA;NA;ND;NA;NA;NA;
6;4;16.06;ND;20.36;ND;22.82;26.32;NA;NA;ND;NA;NA;NA;
6;5;20.41;ND;29.97;ND;29.11;28.74;NA;NA;ND;NA;NA;NA;
6;6;25.39;ND;35.55;ND;37;43.94;NA;NA;ND;NA;NA;NA;
6;7;27.5;ND;37.18;ND;59.71;47.31;NA;NA;ND;NA;NA;NA;
6;8;26.25;ND;28.06;ND;26.61;28.58;NA;NA;ND;NA;NA;NA;
6;9;43.79;ND;40.09;ND;14.24;17.65;NA;NA;ND;NA;NA;NA;
6;10;24.65;ND;13.63;ND;12.04;13.19;NA;NA;ND;NA;NA;NA;
6;11;7.75;ND;11.64;ND;17.08;10.6;NA;NA;ND;NA;NA;NA;
6;12;8.7;ND;10.53;ND;38.35;13.02;NA;NA;ND;NA;NA;NA;
6;13;11.89;ND;7.83;ND;14.25;3.92;NA;NA;ND;NA;NA;NA;
6;14;25.17;ND;8.7;ND;5.27;10.53;NA;NA;ND;NA;NA;NA;
